NA	NA-NA	NA
allah	1-WORD	3
allegations	1-WORD	4
alleged	1-WORD	3
allied	1-WORD	3
allies	1-WORD	4
allow	1-WORD	10
allowed	1-WORD	25
allowing	1-WORD	6
allows	1-WORD	7
almighty	1-WORD	3
almost	1-WORD	40
alone	1-WORD	25
along	1-WORD	30
already	1-WORD	51
also	1-WORD	189
alt	1-WORD	3
alternatives	1-WORD	3
although	1-WORD	31
always	1-WORD	123
am	1-WORD	187
amazing	1-WORD	22
amazon	1-WORD	5
amendment	1-WORD	4
america	1-WORD	71
american	1-WORD	42
americans	1-WORD	29
among	1-WORD	15
amount	1-WORD	23
amounts	1-WORD	9
amusement	1-WORD	5
an	1-WORD	449
analyzed	1-WORD	4
and	1-WORD	1606
and/or	1-WORD	5
angeles	1-WORD	3
anger	1-WORD	8
angry	1-WORD	25
animal	1-WORD	43
animals	1-WORD	106
annoying	1-WORD	3
annually	1-WORD	4
another	1-WORD	145
answer	1-WORD	10
answers	1-WORD	7
anti	1-WORD	7
anxious	1-WORD	3
any	1-WORD	184
anybody	1-WORD	5
anymore	1-WORD	27
anyone	1-WORD	75
anything	1-WORD	97
anytime	1-WORD	9
anyway	1-WORD	27
anyways	1-WORD	12
anywhere	1-WORD	17
apart	1-WORD	8
apartment	1-WORD	11
apology	1-WORD	3
appalachia	1-WORD	3
appalachian	1-WORD	4
appalling	1-WORD	5
apparent	1-WORD	3
apparently	1-WORD	64
appeal	1-WORD	4
appear	1-WORD	4
appears	1-WORD	8
appreciate	1-WORD	10
approach	1-WORD	5
approached	1-WORD	3
appropriate	1-WORD	6
appropriately	1-WORD	4
aquatic	1-WORD	3
aquitaine	1-WORD	3
arab	1-WORD	3
arabia	1-WORD	7
are	1-WORD	949
area	1-WORD	56
areas	1-WORD	37
argue	1-WORD	4
arguing	1-WORD	5
argument	1-WORD	8
arizona	1-WORD	4
armed	1-WORD	8
arms	1-WORD	7
army	1-WORD	7
arnold	1-WORD	3
around	1-WORD	99
arrest	1-WORD	6
arrested	1-WORD	15
arrests	1-WORD	3
arsenic	1-WORD	3
arson	1-WORD	3
article	1-WORD	477
articles	1-WORD	28
artists	1-WORD	4
as	1-WORD	508
ash	1-WORD	3
ashamed	1-WORD	7
asia	1-WORD	5
aside	1-WORD	8
ask	1-WORD	15
asked	1-WORD	11
asking	1-WORD	8
asleep	1-WORD	3
aspect	1-WORD	4
aspects	1-WORD	3
ass	1-WORD	8
assad	1-WORD	3
assault	1-WORD	11
assaulted	1-WORD	3
asshole	1-WORD	5
assist	1-WORD	4
assistance	1-WORD	11
associated	1-WORD	8
assume	1-WORD	3
assuming	1-WORD	5
at	1-WORD	389
ate	1-WORD	3
athletes	1-WORD	3
atmosphere	1-WORD	3
atrocious	1-WORD	4
atrocities	1-WORD	5
attack	1-WORD	35
attacked	1-WORD	19
attacking	1-WORD	7
attacks	1-WORD	31
attempt	1-WORD	10
attempted	1-WORD	4
attempting	1-WORD	6
attention	1-WORD	31
attitude	1-WORD	4
attorney	1-WORD	7
attributed	1-WORD	3
australia	1-WORD	11
australian	1-WORD	4
author	1-WORD	12
authorities	1-WORD	15
authority	1-WORD	4
automatically	1-WORD	3
available	1-WORD	15
average	1-WORD	6
avoid	1-WORD	17
avoided	1-WORD	7
aware	1-WORD	22
awareness	1-WORD	5
away	1-WORD	93
awesome	1-WORD	3
awful	1-WORD	45
awhile	1-WORD	5
awns’t	1-WORD	3
b	1-WORD	3
babies	1-WORD	15
baby	1-WORD	20
back	1-WORD	106
backed	1-WORD	3
background	1-WORD	5
backing	1-WORD	4
backwards	1-WORD	3
bacteria	1-WORD	11
bad	1-WORD	204
badly	1-WORD	11
bail	1-WORD	3
balance	1-WORD	6
ban	1-WORD	8
banana	1-WORD	3
bananas	1-WORD	5
bangladesh	1-WORD	4
bank	1-WORD	11
banker	1-WORD	3
banks	1-WORD	10
banned	1-WORD	4
bar	1-WORD	6
barack	1-WORD	3
barbaric	1-WORD	3
barely	1-WORD	8
barrier	1-WORD	6
base	1-WORD	6
based	1-WORD	19
basic	1-WORD	12
basically	1-WORD	21
basis	1-WORD	6
battle	1-WORD	9
battles	1-WORD	6
battling	1-WORD	4
bay	1-WORD	3
be	1-WORD	889
bear	1-WORD	12
bears	1-WORD	12
beat	1-WORD	3
beaten	1-WORD	4
beating	1-WORD	5
beautiful	1-WORD	12
became	1-WORD	7
because	1-WORD	338
become	1-WORD	57
becomes	1-WORD	5
becoming	1-WORD	30
bed	1-WORD	4
been	1-WORD	280
before	1-WORD	114
began	1-WORD	7
begin	1-WORD	18
beginning	1-WORD	11
begun	1-WORD	3
behave	1-WORD	4
behaving	1-WORD	3
behavior	1-WORD	17
behind	1-WORD	28
being	1-WORD	295
beings	1-WORD	13
belief	1-WORD	4
beliefs	1-WORD	7
believe	1-WORD	176
believed	1-WORD	5
believes	1-WORD	3
believing	1-WORD	3
belongings	1-WORD	5
belongs	1-WORD	3
beloved	1-WORD	3
below	1-WORD	3
beneficial	1-WORD	3
benefit	1-WORD	6
benefits	1-WORD	3
besides	1-WORD	6
best	1-WORD	50
bet	1-WORD	11
better	1-WORD	124
between	1-WORD	42
beyond	1-WORD	15
bias	1-WORD	5
biased	1-WORD	4
big	1-WORD	65
bigger	1-WORD	12
biggest	1-WORD	10
bigotry	1-WORD	3
biko	1-WORD	6
bill	1-WORD	3
billion	1-WORD	3
billions	1-WORD	6
bin	1-WORD	3
biological	1-WORD	3
bird	1-WORD	7
birds	1-WORD	10
birth	1-WORD	15
birthday	1-WORD	3
bit	1-WORD	42
bite	1-WORD	5
bitter	1-WORD	5
bizarre	1-WORD	3
black	1-WORD	38
blacks	1-WORD	6
blame	1-WORD	27
blames	1-WORD	5
blaming	1-WORD	5
blatantly	1-WORD	3
bless	1-WORD	5
blessed	1-WORD	3
blind	1-WORD	4
blinded	1-WORD	5
blindness	1-WORD	4
block	1-WORD	5
blood	1-WORD	16
bloody	1-WORD	3
blow	1-WORD	4
blue	1-WORD	3
board	1-WORD	6
boat	1-WORD	9
boats	1-WORD	5
bob	1-WORD	3
bodies	1-WORD	19
body	1-WORD	25
boil	1-WORD	3
bomb	1-WORD	8
bombed	1-WORD	8
bomber	1-WORD	3
bombing	1-WORD	9
bombings	1-WORD	3
bombs	1-WORD	4
bond	1-WORD	5
book	1-WORD	4
books	1-WORD	3
border	1-WORD	8
borders	1-WORD	6
boring	1-WORD	4
born	1-WORD	17
both	1-WORD	54
bother	1-WORD	6
bothered	1-WORD	4
bothers	1-WORD	4
bottle	1-WORD	5
bottom	1-WORD	3
bought	1-WORD	5
boundaries	1-WORD	3
box	1-WORD	3
boy	1-WORD	19
boyfriend	1-WORD	6
boys	1-WORD	8
brain	1-WORD	8
brains	1-WORD	3
brand	1-WORD	5
brave	1-WORD	7
brazil	1-WORD	7
break	1-WORD	11
breaking	1-WORD	9
breaks	1-WORD	10
breath	1-WORD	4
breathe	1-WORD	4
breathing	1-WORD	3
breeding	1-WORD	3
bring	1-WORD	31
bringing	1-WORD	6
brings	1-WORD	10
britain	1-WORD	6
british	1-WORD	8
broke	1-WORD	12
broken	1-WORD	8
brother	1-WORD	5
brought	1-WORD	21
brutal	1-WORD	6
brutality	1-WORD	3
bubble	1-WORD	4
buddy	1-WORD	5
budget	1-WORD	3
build	1-WORD	10
building	1-WORD	18
buildings	1-WORD	9
built	1-WORD	3
bullets	1-WORD	3
bullied	1-WORD	5
bullies	1-WORD	3
bullshit	1-WORD	4
bullying	1-WORD	6
bunch	1-WORD	11
burden	1-WORD	4
buried	1-WORD	3
burma	1-WORD	3
burn	1-WORD	5
burned	1-WORD	7
burning	1-WORD	6
burns	1-WORD	6
bus	1-WORD	8
buses	1-WORD	3
business	1-WORD	31
businesses	1-WORD	9
but	1-WORD	719
buy	1-WORD	11
buying	1-WORD	6
by	1-WORD	324
c	1-WORD	4
ca	1-WORD	229
cage	1-WORD	3
calais	1-WORD	3
california	1-WORD	15
call	1-WORD	28
called	1-WORD	31
calling	1-WORD	7
calls	1-WORD	5
calm	1-WORD	4
came	1-WORD	28
camera	1-WORD	4
cameras	1-WORD	3
camp	1-WORD	8
campaign	1-WORD	17
camps	1-WORD	5
campuses	1-WORD	3
can	1-WORD	539
canada	1-WORD	5
canceled	1-WORD	4
cancer	1-WORD	15
candidate	1-WORD	4
candidates	1-WORD	5
capable	1-WORD	5
capital	1-WORD	8
captive	1-WORD	3
captivity	1-WORD	3
captured	1-WORD	3
car	1-WORD	23
carbon	1-WORD	4
card	1-WORD	3
care	1-WORD	134
cared	1-WORD	5
career	1-WORD	6
careful	1-WORD	19
careless	1-WORD	7
cares	1-WORD	12
carey	1-WORD	3
caribbean	1-WORD	3
caring	1-WORD	6
carried	1-WORD	6
carry	1-WORD	7
carrying	1-WORD	8
cars	1-WORD	8
cartel	1-WORD	3
cartels	1-WORD	3
case	1-WORD	48
cases	1-WORD	19
cash	1-WORD	4
casualties	1-WORD	7
catastrophe	1-WORD	5
catastrophic	1-WORD	3
catch	1-WORD	14
category	1-WORD	4
cats	1-WORD	5
cattle	1-WORD	7
caught	1-WORD	21
cause	1-WORD	66
caused	1-WORD	40
causes	1-WORD	13
causing	1-WORD	24
celebrated	1-WORD	3
celebrating	1-WORD	3
celebrities	1-WORD	5
celebrity	1-WORD	13
cell	1-WORD	7
celsius	1-WORD	3
center	1-WORD	8
centers	1-WORD	3
central	1-WORD	5
century	1-WORD	6
ceo	1-WORD	5
certain	1-WORD	29
certainly	1-WORD	23
challenge	1-WORD	3
challenges	1-WORD	3
chamber	1-WORD	3
chance	1-WORD	33
chances	1-WORD	7
change	1-WORD	97
changed	1-WORD	13
changes	1-WORD	18
changing	1-WORD	7
channels	1-WORD	3
chaos	1-WORD	11
charge	1-WORD	9
charged	1-WORD	22
charges	1-WORD	5
chase	1-WORD	3
chat	1-WORD	4
cheaper	1-WORD	3
cheat	1-WORD	3
check	1-WORD	30
checked	1-WORD	5
chemical	1-WORD	3
chemicals	1-WORD	5
cherish	1-WORD	4
chicago	1-WORD	9
chicken	1-WORD	6
chickens	1-WORD	5
child	1-WORD	59
childhood	1-WORD	3
childish	1-WORD	3
children	1-WORD	141
china	1-WORD	14
chinese	1-WORD	3
choice	1-WORD	17
choices	1-WORD	6
cholera	1-WORD	7
choose	1-WORD	9
choosing	1-WORD	4
chopstick	1-WORD	3
chose	1-WORD	6
christ	1-WORD	3
christians	1-WORD	3
church	1-WORD	5
cigarettes	1-WORD	4
circumstances	1-WORD	8
cities	1-WORD	9
citizen	1-WORD	7
citizens	1-WORD	32
citizenship	1-WORD	3
city	1-WORD	31
civil	1-WORD	6
civilian	1-WORD	9
civilians	1-WORD	19
civilized	1-WORD	3
claim	1-WORD	7
claimed	1-WORD	5
claiming	1-WORD	3
claims	1-WORD	12
class	1-WORD	9
classified	1-WORD	5
clean	1-WORD	17
clear	1-WORD	16
clearly	1-WORD	20
climate	1-WORD	60
climb	1-WORD	4
clinton	1-WORD	14
close	1-WORD	24
closed	1-WORD	4
closer	1-WORD	4
closure	1-WORD	5
clothes	1-WORD	5
club	1-WORD	4
co	1-WORD	5
coal	1-WORD	8
coalition	1-WORD	4
coast	1-WORD	5
coconut	1-WORD	5
coconuts	1-WORD	5
coffee	1-WORD	9
cohen	1-WORD	6
cold	1-WORD	7
collation	1-WORD	3
college	1-WORD	9
colon	1-WORD	3
color	1-WORD	6
combat	1-WORD	4
combating	1-WORD	4
come	1-WORD	109
comedians	1-WORD	4
comes	1-WORD	34
comfort	1-WORD	4
comfortable	1-WORD	5
coming	1-WORD	30
comment	1-WORD	4
comments	1-WORD	9
commissioner	1-WORD	4
commit	1-WORD	18
committed	1-WORD	9
committing	1-WORD	10
common	1-WORD	22
commonplace	1-WORD	3
communicate	1-WORD	5
communication	1-WORD	3
communities	1-WORD	8
community	1-WORD	31
companies	1-WORD	23
company	1-WORD	30
compared	1-WORD	7
comparing	1-WORD	5
compassion	1-WORD	10
compensated	1-WORD	3
complain	1-WORD	5
complaints	1-WORD	6
complete	1-WORD	8
completely	1-WORD	48
complex	1-WORD	4
complicated	1-WORD	6
comprehend	1-WORD	4
compromise	1-WORD	3
computers	1-WORD	4
concentration	1-WORD	3
concept	1-WORD	4
concern	1-WORD	13
concerned	1-WORD	24
concerning	1-WORD	10
concerns	1-WORD	10
concert	1-WORD	4
conclusion	1-WORD	3
condemned	1-WORD	4
condition	1-WORD	13
conditions	1-WORD	35
condolences	1-WORD	3
condoms	1-WORD	3
condone	1-WORD	3
confederate	1-WORD	4
confirmed	1-WORD	3
conflict	1-WORD	14
conflicted	1-WORD	3
conflicting	1-WORD	5
conflicts	1-WORD	4
confused	1-WORD	6
confusing	1-WORD	3
congress	1-WORD	3
conscious	1-WORD	5
consequences	1-WORD	26
conservation	1-WORD	6
conservative	1-WORD	7
consider	1-WORD	13
consideration	1-WORD	3
considered	1-WORD	20
considering	1-WORD	14
constant	1-WORD	10
constantly	1-WORD	12
constitution	1-WORD	3
consulate	1-WORD	3
contact	1-WORD	9
contacts	1-WORD	4
contain	1-WORD	5
contamination	1-WORD	4
content	1-WORD	4
context	1-WORD	3
continually	1-WORD	4
continue	1-WORD	42
continued	1-WORD	3
continues	1-WORD	10
continuing	1-WORD	7
contribute	1-WORD	6
contributed	1-WORD	3
control	1-WORD	55
controlled	1-WORD	8
controls	1-WORD	3
conversation	1-WORD	5
conversion	1-WORD	4
convert	1-WORD	3
convicted	1-WORD	5
convince	1-WORD	4
cool	1-WORD	7
cop	1-WORD	13
cope	1-WORD	3
cops	1-WORD	14
copy	1-WORD	3
core	1-WORD	5
corner	1-WORD	5
corporate	1-WORD	4
corporations	1-WORD	4
correct	1-WORD	11
corrupt	1-WORD	18
corruption	1-WORD	11
cost	1-WORD	17
costs	1-WORD	8
could	1-WORD	293
counseling	1-WORD	4
count	1-WORD	8
countless	1-WORD	5
countries	1-WORD	90
country	1-WORD	196
counts	1-WORD	6
county	1-WORD	9
couple	1-WORD	24
course	1-WORD	47
court	1-WORD	6
courts	1-WORD	3
cover	1-WORD	6
coverage	1-WORD	3
covered	1-WORD	3
covers	1-WORD	3
cowardly	1-WORD	4
crap	1-WORD	10
crash	1-WORD	13
crazed	1-WORD	3
crazy	1-WORD	82
create	1-WORD	5
created	1-WORD	7
creating	1-WORD	11
creature	1-WORD	4
creatures	1-WORD	8
credit	1-WORD	4
crime	1-WORD	31
crimes	1-WORD	31
criminal	1-WORD	12
criminals	1-WORD	8
crisis	1-WORD	20
critical	1-WORD	6
critically	1-WORD	5
crops	1-WORD	5
cross	1-WORD	7
crossing	1-WORD	6
crowd	1-WORD	3
cruel	1-WORD	18
cruelty	1-WORD	4
cruise	1-WORD	4
crushed	1-WORD	8
cry	1-WORD	5
crying	1-WORD	5
cuba	1-WORD	3
cultural	1-WORD	3
culture	1-WORD	18
cup	1-WORD	4
cure	1-WORD	4
curious	1-WORD	7
currency	1-WORD	3
current	1-WORD	21
currently	1-WORD	8
custody	1-WORD	4
customers	1-WORD	6
cut	1-WORD	11
cycle	1-WORD	4
d	1-WORD	5
dad	1-WORD	10
daily	1-WORD	13
dakota	1-WORD	4
dam	1-WORD	5
damage	1-WORD	33
damaged	1-WORD	5
damaging	1-WORD	6
damn	1-WORD	3
danger	1-WORD	20
dangerous	1-WORD	41
dangers	1-WORD	10
data	1-WORD	11
date	1-WORD	7
daugherty	1-WORD	3
daughter	1-WORD	14
daughters	1-WORD	4
day	1-WORD	106
days	1-WORD	48
dead	1-WORD	55
deadly	1-WORD	7
deal	1-WORD	55
dealing	1-WORD	9
deals	1-WORD	3
dealt	1-WORD	6
dear	1-WORD	12
death	1-WORD	59
deaths	1-WORD	28
decade	1-WORD	3
decades	1-WORD	16
decent	1-WORD	6
decide	1-WORD	9
decided	1-WORD	19
decision	1-WORD	12
decisions	1-WORD	5
declared	1-WORD	3
decreased	1-WORD	6
dedicated	1-WORD	4
deemed	1-WORD	3
deep	1-WORD	4
deeper	1-WORD	4
deeply	1-WORD	10
defeat	1-WORD	3
defend	1-WORD	6
defending	1-WORD	3
defense	1-WORD	4
defenseless	1-WORD	7
definitely	1-WORD	40
degree	1-WORD	5
degrees	1-WORD	3
demand	1-WORD	5
demanding	1-WORD	3
democracy	1-WORD	5
democrat	1-WORD	4
democratic	1-WORD	6
democrats	1-WORD	7
demonstrates	1-WORD	3
denied	1-WORD	6
deny	1-WORD	7
department	1-WORD	7
depend	1-WORD	5
deployed	1-WORD	4
deported	1-WORD	4
depressed	1-WORD	8
depression	1-WORD	10
described	1-WORD	9
desert	1-WORD	3
deserve	1-WORD	38
deserved	1-WORD	3
deserves	1-WORD	17
desire	1-WORD	4
desperate	1-WORD	7
desperately	1-WORD	4
despite	1-WORD	13
destroy	1-WORD	12
destroyed	1-WORD	21
destroying	1-WORD	15
destruction	1-WORD	8
detail	1-WORD	3
details	1-WORD	14
deter	1-WORD	3
determine	1-WORD	4
determined	1-WORD	3
devastated	1-WORD	9
devastating	1-WORD	10
developed	1-WORD	3
developers	1-WORD	3
developing	1-WORD	4
development	1-WORD	5
diagnosed	1-WORD	4
did	1-WORD	272
did’t	1-WORD	4
die	1-WORD	71
died	1-WORD	77
dies	1-WORD	7
diet	1-WORD	3
difference	1-WORD	16
differences	1-WORD	5
different	1-WORD	70
differently	1-WORD	3
difficult	1-WORD	33
dint	1-WORD	5
direct	1-WORD	5
direction	1-WORD	4
directly	1-WORD	10
disagree	1-WORD	5
disappear	1-WORD	7
disappearance	1-WORD	3
disappeared	1-WORD	3
disaster	1-WORD	18
disasters	1-WORD	14
disastrous	1-WORD	4
discover	1-WORD	4
discovered	1-WORD	5
discrimination	1-WORD	3
discuss	1-WORD	6
discussing	1-WORD	5
disease	1-WORD	20
diseases	1-WORD	17
disgusted	1-WORD	8
disgusting	1-WORD	37
disgusts	1-WORD	4
disheartening	1-WORD	5
dishonest	1-WORD	3
dislike	1-WORD	4
disorder	1-WORD	8
disorders	1-WORD	4
displaced	1-WORD	12
display	1-WORD	4
dispute	1-WORD	5
disregard	1-WORD	5
disrespectful	1-WORD	3
distance	1-WORD	4
distressing	1-WORD	8
district	1-WORD	4
disturbed	1-WORD	18
disturbing	1-WORD	45
divers	1-WORD	3
divide	1-WORD	9
divorce	1-WORD	5
do	1-WORD	696
doctor	1-WORD	12
doctors	1-WORD	13
does	1-WORD	160
does’t	1-WORD	3
dog	1-WORD	12
dogs	1-WORD	9
doing	1-WORD	104
dollar	1-WORD	5
dollars	1-WORD	17
domestic	1-WORD	8
donald	1-WORD	39
donate	1-WORD	15
donation	1-WORD	4
done	1-WORD	86
doomed	1-WORD	5
door	1-WORD	5
doubled	1-WORD	3
doubt	1-WORD	14
douglas	1-WORD	3
down	1-WORD	105
dozen	1-WORD	3
dr.	1-WORD	5
drag	1-WORD	3
dragged	1-WORD	4
drastically	1-WORD	3
dream	1-WORD	8
dreams	1-WORD	3
drilling	1-WORD	3
drink	1-WORD	9
drinking	1-WORD	9
drive	1-WORD	12
driven	1-WORD	3
driver	1-WORD	10
drivers	1-WORD	6
drives	1-WORD	3
driving	1-WORD	15
drone	1-WORD	3
drop	1-WORD	7
dropped	1-WORD	3
drought	1-WORD	7
drowned	1-WORD	4
drug	1-WORD	13
drugs	1-WORD	11
drunk	1-WORD	5
dry	1-WORD	3
dude	1-WORD	9
due	1-WORD	63
dumb	1-WORD	4
during	1-WORD	41
duty	1-WORD	3
dying	1-WORD	38
e	1-WORD	5
each	1-WORD	48
eagles	1-WORD	3
earlier	1-WORD	5
early	1-WORD	16
earn	1-WORD	5
earned	1-WORD	4
earn’t	1-WORD	4
earth	1-WORD	38
earthquake	1-WORD	12
earthquakes	1-WORD	11
ease	1-WORD	7
easier	1-WORD	9
easily	1-WORD	22
east	1-WORD	37
eastern	1-WORD	4
easy	1-WORD	35
eat	1-WORD	28
eaters	1-WORD	3
eating	1-WORD	12
economic	1-WORD	10
economy	1-WORD	11
ecosystem	1-WORD	8
ecosystems	1-WORD	4
editor	1-WORD	3
educate	1-WORD	4
educated	1-WORD	8
education	1-WORD	16
educational	1-WORD	5
effect	1-WORD	13
effected	1-WORD	3
effecting	1-WORD	3
effective	1-WORD	4
effects	1-WORD	20
effort	1-WORD	14
efforts	1-WORD	14
eight	1-WORD	4
either	1-WORD	52
elderly	1-WORD	7
elect	1-WORD	5
elected	1-WORD	11
election	1-WORD	34
elections	1-WORD	5
elementary	1-WORD	4
elephant	1-WORD	7
elephants	1-WORD	14
elevator	1-WORD	3
elite	1-WORD	3
else	1-WORD	51
email	1-WORD	3
emergency	1-WORD	5
emotion	1-WORD	8
emotional	1-WORD	17
emotionally	1-WORD	6
emotions	1-WORD	15
empathy	1-WORD	5
employees	1-WORD	10
empty	1-WORD	3
emu	1-WORD	3
encounter	1-WORD	3
encourage	1-WORD	10
encouraged	1-WORD	5
end	1-WORD	78
endangered	1-WORD	15
ended	1-WORD	16
ending	1-WORD	15
endless	1-WORD	3
ends	1-WORD	6
endure	1-WORD	11
enemies	1-WORD	3
enemy	1-WORD	4
energy	1-WORD	12
enforcement	1-WORD	7
england	1-WORD	4
enjoy	1-WORD	23
enough	1-WORD	94
ensure	1-WORD	10
enter	1-WORD	4
entertainment	1-WORD	7
entire	1-WORD	25
entirely	1-WORD	8
environment	1-WORD	43
environmental	1-WORD	23
epa	1-WORD	3
epidemic	1-WORD	5
epitome	1-WORD	3
equal	1-WORD	6
equality	1-WORD	5
equally	1-WORD	5
equipment	1-WORD	4
eradicate	1-WORD	3
erika	1-WORD	18
error	1-WORD	5
errors	1-WORD	3
escape	1-WORD	9
escaped	1-WORD	8
escaping	1-WORD	3
especially	1-WORD	91
essentially	1-WORD	3
establish	1-WORD	3
estimated	1-WORD	3
etc	1-WORD	14
ethiopia	1-WORD	3
europe	1-WORD	6
european	1-WORD	5
evacuate	1-WORD	4
evacuated	1-WORD	3
even	1-WORD	275
event	1-WORD	24
events	1-WORD	17
eventually	1-WORD	14
ever	1-WORD	72
every	1-WORD	88
everybody	1-WORD	5
everyday	1-WORD	17
everyone	1-WORD	97
everything	1-WORD	66
everywhere	1-WORD	14
evidence	1-WORD	19
evidently	1-WORD	3
evil	1-WORD	12
ex	1-WORD	5
exact	1-WORD	4
exactly	1-WORD	10
example	1-WORD	32
except	1-WORD	3
excessive	1-WORD	3
excuse	1-WORD	14
excuses	1-WORD	6
exhausted	1-WORD	3
exist	1-WORD	9
existed	1-WORD	3
existence	1-WORD	9
existing	1-WORD	4
exists	1-WORD	5
expand	1-WORD	8
expanding	1-WORD	4
expect	1-WORD	18
expected	1-WORD	6
expecting	1-WORD	3
expense	1-WORD	3
expensive	1-WORD	10
experience	1-WORD	31
experienced	1-WORD	7
experiences	1-WORD	10
experiencing	1-WORD	3
explain	1-WORD	3
explained	1-WORD	3
explaining	1-WORD	3
explains	1-WORD	4
exploit	1-WORD	5
exploring	1-WORD	3
exposed	1-WORD	3
express	1-WORD	5
expressed	1-WORD	3
extend	1-WORD	4
extensive	1-WORD	3
extent	1-WORD	7
extinct	1-WORD	16
extinction	1-WORD	17
extra	1-WORD	4
extreme	1-WORD	11
extremely	1-WORD	35
extremist	1-WORD	5
extremists	1-WORD	4
eye	1-WORD	24
eyes	1-WORD	20
eyesight	1-WORD	3
face	1-WORD	41
facebook	1-WORD	5
faced	1-WORD	4
faces	1-WORD	3
facing	1-WORD	9
fact	1-WORD	64
factors	1-WORD	5
facts	1-WORD	18
fail	1-WORD	4
failed	1-WORD	13
failing	1-WORD	4
failure	1-WORD	5
fair	1-WORD	22
fairly	1-WORD	7
faith	1-WORD	9
fake	1-WORD	12
fall	1-WORD	8
fallen	1-WORD	5
falling	1-WORD	11
falls	1-WORD	3
false	1-WORD	4
fame	1-WORD	4
