Word,0,Word,114050.0,108373.0,0.950223586146427
Word&Sense,1,Word&Sense,114050.0,78.0,0.0006839105655414291
Word&POS,2,Word&POS,114050.0,78.0,0.0006839105655414291
Word&NER,3,Word&NER,114050.0,78.0,0.0006839105655414291
Hypernym,4,Hypernym,114050.0,33183.0,0.2909513371328365
NER,5,NER,114050.0,36457.0,0.3196580447172293
LexiconADR,6,LexiconADR,114050.0,3816.0,0.03345900920648838
LexiconSYN,7,LexiconSYN,114050.0,17048.0,0.1494782989916703
LexiconGLOVECC,8,LexiconGLOVECC,114050.0,102441.0,0.898211310828584
LexiconGLOVETW,9,LexiconGLOVETW,114050.0,112341.0,0.9850153441473039
LexiconGLOVEWG,10,LexiconGLOVEWG,114050.0,109749.0,0.9622884699693117
Sentiment,11,Sentiment,114050.0,48861.0,0.42841736080666376
LexiconEMOLEX,12,LexiconEMOLEX,114050.0,6994.0,0.06132398071021482
Affect,13,Affect,114050.0,1492.0,0.013081981587023235
LexiconAILEXCAT,14,LexiconAILEXCAT,114050.0,8221.0,0.07208241999123191
LexiconAILEXINT,15,LexiconAILEXINT,114050.0,3217.0,0.02820692678649715
LexiconLIWC,16,LexiconLIWC,114050.0,59824.0,0.524541867601929
LexiconSAVLEX,17,LexiconSAVLEX,114050.0,10874.0,0.09534414730381412
POS,18,POS,114050.0,114050.0,1.0
Misspelling,19,Misspelling,114063.0,71003.0,0.622489326074187
Legomena,20,Legomena,114050.0,613.0,0.005374835598421745
